,Accident Ref.,Borough,Easting,Northing,Vehicle Type
15,0111CP00011,CITY OF LONDON,531620,180820,01 Pedal Cycle
22,0111CP00016,CITY OF LONDON,531610,180820,01 Pedal Cycle
24,0111CP00017,CITY OF LONDON,531670,180940,01 Pedal Cycle
29,0111CP00024,CITY OF LONDON,533220,181140,01 Pedal Cycle
32,0111CP00025,CITY OF LONDON,532580,181130,01 Pedal Cycle
35,0111CP00030,CITY OF LONDON,531632,181174,01 Pedal Cycle
39,0111CP00032,CITY OF LONDON,531690,180930,01 Pedal Cycle
43,0111CP00036,CITY OF LONDON,532860,180830,01 Pedal Cycle
45,0111CP00038,CITY OF LONDON,532430,180880,01 Pedal Cycle
50,0111CP00043,CITY OF LONDON,533320,181350,01 Pedal Cycle
59,0111CP00048,CITY OF LONDON,531670,180820,01 Pedal Cycle
60,0111CP00049,CITY OF LONDON,531890,181360,01 Pedal Cycle
63,0111CP00050,CITY OF LONDON,531600,181310,01 Pedal Cycle
64,0111CP00051,CITY OF LONDON,533070,181450,01 Pedal Cycle
67,0111CP00053,CITY OF LONDON,531640,180980,01 Pedal Cycle
71,0111CP00056,CITY OF LONDON,533660,180900,01 Pedal Cycle
73,0111CP00057,CITY OF LONDON,531570,181570,01 Pedal Cycle
75,0111CP00058,CITY OF LONDON,532550,180930,01 Pedal Cycle
77,0111CP00059,CITY OF LONDON,532710,181550,01 Pedal Cycle
83,0111CP00062,CITY OF LONDON,531800,180940,01 Pedal Cycle
89,0111CP00065,CITY OF LONDON,533660,180940,01 Pedal Cycle
92,0111CP00068,CITY OF LONDON,531600,181500,01 Pedal Cycle
96,0111CP00072,CITY OF LONDON,532830,180610,01 Pedal Cycle
102,0111CP00076,CITY OF LONDON,532550,180780,01 Pedal Cycle
105,0111CP00078,CITY OF LONDON,533150,180640,01 Pedal Cycle
108,0111CP00081,CITY OF LONDON,532640,181270,01 Pedal Cycle
110,0111CP00082,CITY OF LONDON,532690,181110,01 Pedal Cycle
113,0111CP00083,CITY OF LONDON,532930,180850,01 Pedal Cycle
119,0111CP00088,CITY OF LONDON,531570,181560,01 Pedal Cycle
125,0111CP00093,CITY OF LONDON,531640,181060,01 Pedal Cycle
127,0111CP00094,CITY OF LONDON,532460,180810,01 Pedal Cycle
130,0111CP00096,CITY OF LONDON,533380,180870,01 Pedal Cycle
133,0111CP00097,CITY OF LONDON,531800,180940,01 Pedal Cycle
138,0111CP00100,CITY OF LONDON,531900,181840,01 Pedal Cycle
140,0111CP00102,CITY OF LONDON,533090,181460,01 Pedal Cycle
142,0111CP00103,CITY OF LONDON,532710,181090,01 Pedal Cycle
147,0111CP00106,CITY OF LONDON,532390,181330,01 Pedal Cycle
150,0111CP00109,CITY OF LONDON,531680,180820,01 Pedal Cycle
152,0111CP00110,CITY OF LONDON,531890,181360,01 Pedal Cycle
153,0111CP00111,CITY OF LONDON,533300,180710,01 Pedal Cycle
155,0111CP00112,CITY OF LONDON,531270,181160,01 Pedal Cycle
157,0111CP00113,CITY OF LONDON,531390,181550,01 Pedal Cycle
160,0111CP00114,CITY OF LONDON,532320,180850,01 Pedal Cycle
162,0111CP00115,CITY OF LONDON,531380,181550,01 Pedal Cycle
169,0111CP00120,CITY OF LONDON,533640,181290,01 Pedal Cycle
174,0111CP00123,CITY OF LONDON,531880,181130,01 Pedal Cycle
176,0111CP00124,CITY OF LONDON,532620,181100,01 Pedal Cycle
