,Unnamed: 0,Accident Ref.,Borough,Easting,Northing,Vehicle Type,Unnamed: 0,Y,X
0,15,0111CP00011,CITY OF LONDON,531620,180820,01 Pedal Cycle,0,-0.10469532,51.51098673
1,22,0111CP00016,CITY OF LONDON,531610,180820,01 Pedal Cycle,1,-0.10483933,51.51098905
2,24,0111CP00017,CITY OF LONDON,531670,180940,01 Pedal Cycle,2,-0.10393042,51.51205351
3,29,0111CP00024,CITY OF LONDON,533220,181140,01 Pedal Cycle,3,-0.08153157,51.51348772
4,32,0111CP00025,CITY OF LONDON,532580,181130,01 Pedal Cycle,4,-0.09075301,51.51354834
5,35,0111CP00030,CITY OF LONDON,531632,181174,01 Pedal Cycle,5,-0.10439037,51.51416525
6,39,0111CP00032,CITY OF LONDON,531690,180930,01 Pedal Cycle,6,-0.10364611,51.51195898
7,43,0111CP00036,CITY OF LONDON,532860,180830,01 Pedal Cycle,7,-0.08683329,51.51078663
8,45,0111CP00038,CITY OF LONDON,532430,180880,01 Pedal Cycle,8,-0.09300728,51.51133684
9,50,0111CP00043,CITY OF LONDON,533320,181350,01 Pedal Cycle,9,-0.08001191,51.51535129
10,59,0111CP00048,CITY OF LONDON,531670,180820,01 Pedal Cycle,10,-0.10397521,51.51097509
11,60,0111CP00049,CITY OF LONDON,531890,181360,01 Pedal Cycle,11,-0.10060487,51.51577668
12,63,0111CP00050,CITY OF LONDON,531600,181310,01 Pedal Cycle,12,-0.10480052,51.51539489
13,64,0111CP00051,CITY OF LONDON,533070,181450,01 Pedal Cycle,13,-0.08357497,51.51630889
14,67,0111CP00053,CITY OF LONDON,531640,180980,01 Pedal Cycle,14,-0.10434757,51.51241995
15,71,0111CP00056,CITY OF LONDON,533660,180900,01 Pedal Cycle,15,-0.07528539,51.51122704
16,73,0111CP00057,CITY OF LONDON,531570,181570,01 Pedal Cycle,16,-0.10513561,51.51773842
17,75,0111CP00058,CITY OF LONDON,532550,180930,01 Pedal Cycle,17,-0.09126025,51.51175805
18,77,0111CP00059,CITY OF LONDON,532710,181550,01 Pedal Cycle,18,-0.08872261,51.5172922
19,83,0111CP00062,CITY OF LONDON,531800,180940,01 Pedal Cycle,19,-0.10205813,51.51202323
20,89,0111CP00065,CITY OF LONDON,533660,180940,01 Pedal Cycle,20,-0.07527024,51.51158649
21,92,0111CP00068,CITY OF LONDON,531600,181500,01 Pedal Cycle,21,-0.10472962,51.51710237
22,96,0111CP00072,CITY OF LONDON,532830,180610,01 Pedal Cycle,22,-0.08734818,51.50881663
23,102,0111CP00076,CITY OF LONDON,532550,180780,01 Pedal Cycle,23,-0.09131662,51.51041005
24,105,0111CP00078,CITY OF LONDON,533150,180640,01 Pedal Cycle,24,-0.08272851,51.50901096
25,108,0111CP00081,CITY OF LONDON,532640,181270,01 Pedal Cycle,25,-0.0898362,51.51479239
26,110,0111CP00082,CITY OF LONDON,532690,181110,01 Pedal Cycle,26,-0.08917625,51.5133428
27,113,0111CP00083,CITY OF LONDON,532930,180850,01 Pedal Cycle,27,-0.08581763,51.51094991
28,119,0111CP00088,CITY OF LONDON,531570,181560,01 Pedal Cycle,28,-0.10513934,51.51764855
29,125,0111CP00093,CITY OF LONDON,531640,181060,01 Pedal Cycle,29,-0.1043177,51.51313889
30,127,0111CP00094,CITY OF LONDON,532460,180810,01 Pedal Cycle,30,-0.09260151,51.51070074
31,130,0111CP00096,CITY OF LONDON,533380,180870,01 Pedal Cycle,31,-0.07932926,51.51102361
32,133,0111CP00097,CITY OF LONDON,531800,180940,01 Pedal Cycle,32,-0.10205813,51.51202323
33,138,0111CP00100,CITY OF LONDON,531900,181840,01 Pedal Cycle,33,-0.10028129,51.52008797
34,140,0111CP00102,CITY OF LONDON,533090,181460,01 Pedal Cycle,34,-0.08328314,51.51639404
35,142,0111CP00103,CITY OF LONDON,532710,181090,01 Pedal Cycle,35,-0.08889572,51.51315837
36,147,0111CP00106,CITY OF LONDON,532390,181330,01 Pedal Cycle,36,-0.09341445,51.5153902
37,150,0111CP00109,CITY OF LONDON,531680,180820,01 Pedal Cycle,37,-0.10383119,51.51097276
38,152,0111CP00110,CITY OF LONDON,531890,181360,01 Pedal Cycle,38,-0.10060487,51.51577668
39,153,0111CP00111,CITY OF LONDON,533300,180710,01 Pedal Cycle,39,-0.08054187,51.50960465
40,155,0111CP00112,CITY OF LONDON,531270,181160,01 Pedal Cycle,40,-0.10960946,51.51412356
41,157,0111CP00113,CITY OF LONDON,531390,181550,01 Pedal Cycle,41,-0.10773581,51.51760054
42,160,0111CP00114,CITY OF LONDON,532320,180850,01 Pedal Cycle,42,-0.09460275,51.51109299
43,162,0111CP00115,CITY OF LONDON,531380,181550,01 Pedal Cycle,43,-0.10787984,51.51760287
44,169,0111CP00120,CITY OF LONDON,533640,181290,01 Pedal Cycle,44,-0.07542564,51.51473649
45,174,0111CP00123,CITY OF LONDON,531880,181130,01 Pedal Cycle,45,-0.10083491,51.51371206
46,176,0111CP00124,CITY OF LONDON,532620,181100,01 Pedal Cycle,46,-0.09018819,51.51326936
47,179,0111CP00125,CITY OF LONDON,532150,181596,01 Pedal Cycle,47,-0.09677154,51.51783684
48,181,0111CP00126,CITY OF LONDON,532240,181380,01 Pedal Cycle,48,-0.09555619,51.51587466
49,182,0111CP00127,CITY OF LONDON,531560,181570,01 Pedal Cycle,49,-0.10527966,51.51774075
50,188,0111CP00130,CITY OF LONDON,531780,181670,01 Pedal Cycle,50,-0.1020734,51.5185882
51,191,0111CP00131,CITY OF LONDON,532560,181130,01 Pedal Cycle,51,-0.09104107,51.51355303
52,193,0111CP00132,CITY OF LONDON,532890,180690,01 Pedal Cycle,52,-0.08645397,51.50952146
53,197,0111CP00134,CITY OF LONDON,533070,181460,01 Pedal Cycle,53,-0.0835712,51.51639875
54,200,0111CP00135,CITY OF LONDON,532130,180930,01 Pedal Cycle,54,-0.09730915,51.51185637
55,202,0111CP00136,CITY OF LONDON,531630,181170,01 Pedal Cycle,55,-0.10442067,51.51412977
56,205,0111CP00138,CITY OF LONDON,532411,181009,01 Pedal Cycle,56,-0.09323249,51.51250057
57,209,0111CP00141,CITY OF LONDON,532700,181100,01 Pedal Cycle,57,-0.08903599,51.51325059
58,211,0111CP00142,CITY OF LONDON,532380,181170,01 Pedal Cycle,58,-0.09361854,51.51395468
59,215,0111CP00144,CITY OF LONDON,533380,181910,01 Pedal Cycle,59,-0.07893586,51.52036956
60,222,0111CP00152,CITY OF LONDON,533200,181420,01 Pedal Cycle,60,-0.08171386,51.51600865
61,227,0111CP00154,CITY OF LONDON,532720,181110,01 Pedal Cycle,61,-0.08874417,51.51333576
62,228,0111CP00155,CITY OF LONDON,532710,181560,01 Pedal Cycle,62,-0.08871884,51.51738207
63,234,0111CP00158,CITY OF LONDON,531650,180770,01 Pedal Cycle,63,-0.10428191,51.51053041
64,238,0111CP00161,CITY OF LONDON,532790,181050,01 Pedal Cycle,64,-0.08775858,51.51278012
65,244,0111CP00165,CITY OF LONDON,532160,181590,01 Pedal Cycle,65,-0.09662976,51.51778058
66,246,0111CP00166,CITY OF LONDON,531730,180810,01 Pedal Cycle,66,-0.10311483,51.51087126
67,249,0111CP00169,CITY OF LONDON,533600,181170,01 Pedal Cycle,67,-0.07604722,51.51366758
68,252,0111CP00170,CITY OF LONDON,531810,181400,01 Pedal Cycle,68,-0.1017422,51.51615479
69,254,0111CP00172,CITY OF LONDON,533190,181440,01 Pedal Cycle,69,-0.08185033,51.51619074
70,257,0111CP00173,CITY OF LONDON,533180,181420,01 Pedal Cycle,70,-0.08200193,51.51601337
71,261,0111CP00175,CITY OF LONDON,533220,180940,01 Pedal Cycle,71,-0.08160712,51.51169041
72,262,0111CP00176,CITY OF LONDON,531420,181560,01 Pedal Cycle,72,-0.10729995,51.51768344
73,267,0111CP00181,CITY OF LONDON,532553,181141,01 Pedal Cycle,73,-0.09113776,51.51365352
74,271,0111CP00184,CITY OF LONDON,532360,181560,01 Pedal Cycle,74,-0.09376022,51.51746417
75,273,0111CP00185,CITY OF LONDON,531660,180920,01 Pedal Cycle,75,-0.1040819,51.5118761
76,275,0111CP00186,CITY OF LONDON,533430,181260,01 Pedal Cycle,76,-0.07846162,51.51451654
77,282,0111CP00195,CITY OF LONDON,531590,181420,01 Pedal Cycle,77,-0.10490351,51.51638576
78,284,0111CP00197,CITY OF LONDON,531990,181340,01 Pedal Cycle,78,-0.09917202,51.51557361
79,291,0111CP00201,CITY OF LONDON,533260,180640,01 Pedal Cycle,79,-0.08114438,51.50898503
80,295,0111CP00204,CITY OF LONDON,533010,181030,01 Pedal Cycle,80,-0.0845976,51.51254867
81,300,0111CP00206,CITY OF LONDON,531570,181570,01 Pedal Cycle,81,-0.10513561,51.51773842
82,301,0111CP00207,CITY OF LONDON,532370,181180,01 Pedal Cycle,82,-0.0937588,51.51404689
